video_name,filter_mode,total_frames,total_detections,avg_detections_per_frame,avg_yolo_confidence,frames_with_detections,detection_rate,avg_speed_variance,max_speed_variance,unique_track_ids,avg_track_duration,track_stability_score
far_left,none,526,40,0.07604562737642585,0.4272357874446445,39,0.0741444866920152,2272.1435546875,4033.950439453125,2,42.0,333.3333333333333
far_left,gaussian,526,41,0.0779467680608365,0.4307161539458157,39,0.0741444866920152,2154.40478515625,3855.937255859375,2,42.0,333.3333333333333
far_left,median,526,41,0.0779467680608365,0.4374234483421193,40,0.07604562737642585,2249.854736328125,4061.158935546875,2,42.0,333.3333333333333
left,none,526,188,0.3574144486692015,0.4224322253177243,173,0.3288973384030418,2384.972900390625,4258.82470703125,11,63.81818181818182,83.33333333333333
left,gaussian,526,185,0.3517110266159696,0.42284455581144853,168,0.3193916349809886,2134.15576171875,4323.2255859375,10,63.9,90.9090909090909
left,median,526,186,0.35361216730038025,0.4226892767878978,171,0.32509505703422054,2263.177978515625,4872.05859375,10,64.6,90.9090909090909
middle,none,548,31,0.05656934306569343,0.3976810364635444,30,0.05474452554744526,19.320398330688477,19.320398330688477,1,11.0,500.0
middle,gaussian,548,31,0.05656934306569343,0.39963209397178523,30,0.05474452554744526,476.0558776855469,476.0558776855469,1,18.0,500.0
middle,median,548,33,0.060218978102189784,0.40127618625910594,32,0.058394160583941604,228.43434143066406,436.60491943359375,2,15.0,333.3333333333333
right,none,528,18,0.03409090909090909,0.43103591588584284,18,0.03409090909090909,813.5966186523438,813.5966186523438,1,9.0,500.0
right,gaussian,528,18,0.03409090909090909,0.43285047114718683,18,0.03409090909090909,240.202880859375,240.202880859375,1,11.0,500.0
right,median,528,20,0.03787878787878788,0.43339273844331544,20,0.03787878787878788,226.67730712890625,226.67730712890625,1,11.0,500.0
